,工作标题,工作链接,工作地点,薪资,年限,学历,公司名,公司链接,公司行业,融资情况,人数,标签,福利
120,高级数据分析/数据挖掘师-S9617K,/job_detail/13870eef8cd7a7791XVy2dS6FFRS.html,武汉,20-30K·15薪,5-10年,本科,美的,/gongsi/3a5b5d9a1604125c1XV_2ty9.html,其他行业,已上市,10000人以上,"['五险一金', '管理规范', '餐费贴补', '岗位晋升']",住房补贴，节日福利，免费班车，补充医疗保险，全勤奖，通讯补贴，加班补助，入职补贴2k，股票期权，零食下午茶，餐补，交通补助，员工旅游，带薪年假，五险一金，重大消息，年终奖，包吃，游泳池，定期体检
121,数据分析师,/job_detail/e45be01f8648d5ca1XR40tW6FFFV.html,武汉·洪山区·花山,13-18K,1-3年,本科,招商证券,/gongsi/b51adeb092453c9b1XN-3Nw~.html,互联网金融,已上市,10000人以上,"['Datastage', 'SQL', 'DataX', 'HDFS', 'MapReduce', 'Hadoop', 'Python']",年终奖，带薪年假，加班补助，餐补，五险一金，补充医疗保险，定期体检，通讯补贴，节日福利，住房补贴，交通补助，员工旅游
122,数据分析/BI分析师,/job_detail/b4e785320c567e671nV72Nm5FVVR.html,武汉·洪山区·光谷,15-25K,5-10年,本科,刀锋互娱,/gongsi/d34a84003df35b413nR409W-.html,互联网,A轮,500-999人,"['数据分析', 'Python', 'SQL', 'BI', '数据运营']",带薪年假，周末双休，节日福利，定期体检，员工旅游，加班补助，年终奖，全勤奖，零食下午茶
123,数据分析统计员,/job_detail/12f03e8b7248bec71XR60ti6GFJX.html,武汉,3-4K,1-3年,大专,前川考场,/gongsi/108582a49851eca81nd93ti9EVI~.html,政府/公共事业,,20-99人,['描述统计'],
124,数据分析统计员,/job_detail/51b28b169a235ec11n1-09u1GFBT.html,武汉,4-7K,1-3年,大专,奔途物流,/gongsi/08728733805ab3af1nB839-7GFI~.html,交通/运输,,100-499人,['数据统计'],
125,数据分析专员,/job_detail/a0788bc0aa091e411XR53tS7GFNX.html,武汉·武昌区·徐家棚,5-8K,1-3年,大专,长城物业集团股份,/gongsi/da02bb4185a061151XZ_2tW1Fw~~.html,物业服务,未融资,10000人以上,"['Excel', '多元统计分析', '聚类分析', '方差分析', '相关分析', '效度分析']",带薪年假，五险一金，节日福利，餐补
126,数据分析实习生,/job_detail/43670de0397a71a91XZ42du4EldX.html,武汉·江夏区·光谷,200-250元/天,3天/周3个月学历,不限,今日头条,/gongsi/a67b361452e384e71XV82N4~.html,移动互联网,D轮及以上,10000人以上,"['描述统计', '回归分析']",员工旅游，交通补助，五险一金，包吃，通讯补贴，住房补贴，节日福利，零食下午茶，带薪年假，加班补助，定期体检，年终奖，免费班车，股票期权，全勤奖，补充医疗保险
127,VIP数据分析,/job_detail/14c669debb1836721n1z2N-1EFZT.html,武汉·江汉区·常青,5-6K,1-3年,大专,三石服饰,/gongsi/a10c98c36c2638621Hx42NW6Fw~~.html,服装/纺织/皮革,未融资,500-999人,"['Excel', '相关分析']",五险，全勤奖，节日福利，带薪年假
128,平台数据分析,/job_detail/d27954ebdb85038f1n1_0tW4FVNZ.html,武汉·武昌区·水果湖,4-6K,3-5年,本科,玄乐信息咨询,/gongsi/696c03259555483f1n173tq6FVY~.html,批发/零售,,20-99人,['Excel'],
129,数据分析师,/job_detail/3d5ee304f911be8f1n183t2_GFtS.html,武汉·洪山区·光谷,11-20K·15薪,1-3年,本科,斗鱼,/gongsi/9459ad5584af2d781Xd42Nq6.html,互联网,已上市,1000-9999人,"['Excel', 'Tableau', 'SQL', 'Python', '用户增长', '数据可视化', '策略增长']",年终奖，定期体检，带薪年假，餐补，补充医疗保险，零食下午茶，股票期权，节日福利，五险一金
130,采购数据分析主管,/job_detail/94040aceeaf705471nJ_0921FFZW.html,武汉·江夏区·藏龙岛,6-8K,3-5年,本科,武汉天喻信息,/gongsi/2e39dd02846f2bed1XN-0tm7Fw~~.html,信息安全,已上市,1000-9999人,"['Excel', '信度分析', '相关分析', '描述统计']",免费班车，带薪年假，节日福利，五险一金，定期体检，年终奖，补充医疗保险
131,数据分析工程师,/job_detail/29fdc9a6459437481XR_2Nu_GFBW.html,武汉,10-15K,1-3年,本科,烽火通信,/gongsi/1f88fdf3e41f97221nN92t66.html,通信/网络设备,已上市,10000人以上,['SQL'],股票期权，餐补，补充医疗保险，年终奖，节日福利，免费班车，五险一金，包吃，带薪年假，定期体检
132,数据分析实习生,/job_detail/6835179a24daef6a1n160t68E1JS.html,武汉·东西湖区·金银湖,130-150元/天,5天/周3个月,本科,良品铺子,/gongsi/228e4ad4d1abb4be1nV_3924FQ~~.html,其他行业,已上市,10000人以上,['相关分析'],级别奖，绩效工资，年终奖，加班补助，定期体检，节日福利，全勤奖，带薪年假，五险一金
133,导侦数据分析师,/job_detail/809160f4f93943151XZ62dq0GVZV.html,武汉·江汉区·菱角湖,5-10K,1-3年,本科,华科经安,/gongsi/efe0eb747b8db6741XR93d67F1Y~.html,数据服务,天使轮,20-99人,"['Python', 'SQL', 'Tableau', '多元统计分析', '相关分析']",带薪年假，交通补助，年终奖，加班补助，节日福利，五险一金
134,数据分析专员 上海总部,/job_detail/f03fb9d3aa7b07621XR839q8FltR.html,武汉·洪山区·街道口,5-8K·13薪,经验不限,本科,一嗨,/gongsi/b5f3154df275c3d81nx82t2_E1c~.html,电子商务,未融资,1000-9999人,"['SQL', 'Python']",
135,数据分析工程师（脑科学）,/job_detail/52200fe5fc4fdb511XR609u8FFZT.html,武汉·江夏区·藏龙岛,8-12K·14薪,1-3年,硕士,资联虹康,/gongsi/caf6f1fce6ecf2ad1HV439y0.html,医疗健康,A轮,100-499人,"['EEG/ERPs/M', 'fNIRS', 'fMRI/PET', 'nTMS']",节日福利，员工旅游，年终奖，股票期权，带薪年假，定期体检，零食下午茶，五险一金
136,AI数据分析工程师(J10443),/job_detail/b2e04dca4fb5141a1XVy3di7EVBR.html,武汉·洪山区·光谷,18-20K·13薪,3-5年,硕士,华新技管,/gongsi/b92dc7db3c2dbd080nBz3Nu7FA~~.html,其他专业服务,已上市,1000-9999人,"['算法设计', '深度学习算法', '机器学习算法', '视觉图像算法', '推荐算法', '数据开发', '数据挖掘', '数据分析']",年终奖，通讯补贴，定期体检，节日福利，补充医疗保险，五险一金，带薪年假，员工旅游，零食下午茶，餐补，住房补贴
137,数据分析专家,/job_detail/b8291c9020d3b5fe1XV83di9ElpQ.html,武汉·江夏区·光谷,35-45K,5-10年,本科,福禄网络,/gongsi/c8aa2e4463f8ceb81H173NQ~.html,互联网,已上市,500-999人,"['Python', 'SQL', 'SPSS', 'SAS', 'Excel', 'Tableau']",交通补助，五险一金，全勤奖，餐补，定期体检，节日福利，带薪年假，年终奖
138,数据分析师,/job_detail/46e30761d6c535021n1-09S_EFRT.html,武汉·洪山区·光谷,15-30K·15薪,3-5年,本科,斗鱼,/gongsi/9459ad5584af2d781Xd42Nq6.html,互联网,已上市,1000-9999人,"['SQL', '用户分析', '用户增长', '数据策略', '指标体系']",节日福利，带薪年假，股票期权，零食下午茶，年终奖，定期体检，餐补，五险一金，补充医疗保险
139,数据安全分析师,/job_detail/f2a8aded89d5168b1n1y0t2_FVJX.html,武汉·东西湖区·吴家山,13-25K,1-3年,本科,恒安嘉新,/gongsi/f367cdf3fe9555ce1X150tq7.html,互联网,D轮及以上,1000-9999人,"['SQL', 'Python', '数据分析', '建模分析']",五险一金，年终奖，带薪年假，股票期权，员工旅游，节日福利，定期体检
140,数据分析运营,/job_detail/5625dc4422cbe20f1Xd729W-FFRV.html,武汉·洪山区·黄家湖大学城,6-11K,经验不限,本科,博彦科技,/gongsi/e715aa1be4283fc21nd62tq5.html,计算机软件,已上市,10000人以上,"['游戏类产品', '数据分析，用户研究']",节日福利，年终奖，定期体检，免费班车，五险一金，带薪年假
141,数据分析经理,/job_detail/b13370013f8c82ee1XZ639W8ElVR.html,武汉·江夏区·金融港,15-25K·13薪,5-10年,本科,D1M电商科技,/gongsi/b978344e2ef5ab9f0X1629W7Ew~~.html,电子商务,B轮,1000-9999人,"['Python', 'SQL', 'Spark', 'Hadoop']",五险一金，补充医疗保险，带薪年假，节日福利，年终奖，定期体检，员工旅游
142,湖北拓深招聘物流运营,/job_detail/a7abb3505aee764d1XRy09m5E1BY.html,武汉·黄陂区·滠口,5-8K,1-3年学历,不限,湖北拓深,/gongsi/f258ce5ce321d9781n1z29q6FFU~.html,物流/仓储,,20-99人,"['干线货运', '公路运输', '医保报销', '环境好', '五险一金', '年终奖']",
143,物流数据分析研究员,/job_detail/2b0b47953b9670aa1XR_2dS6FVRW.html,武汉·武昌区·中南路,120-150元/天,3天/周2个月,本科,广州市福思特科技...,/gongsi/ff3d805259cd49970nR509i4FA~~.html,计算机软件,不需要融资,100-499人,['数据分析'],通讯补贴，年终奖，五险一金，带薪年假，节日福利
144,京东物流招聘物流运营,/job_detail/ad784f6d0c471c421XV52Ni0F1NW.html,武汉,5-7K,1-3年,本科,京东物流,/gongsi/951e8bf16e0821e40HR909i1Fw~~.html,物流/仓储,已上市,10000人以上,['餐补'],免费班车，加班补助，节日福利，带薪年假，补充医疗保险，年终奖，餐补，定期体检，餐补，五险一金，股票期权，交通补助
145,编程、数据分析、课程撰写及汇总,/job_detail/9cbcef6081978db11XVz3Ni1FFFX.html,武汉·蔡甸区·沌口,4-9K,经验不限学历,不限,极点科技,/gongsi/732759d53aa502ae1XN_0920Fw~~.html,智能硬件,,0-20人,['非教育企业'],
146,项目经理（政务数据分析方向)）,/job_detail/82c2e1ac696b23ef1XV92d64GFFV.html,武汉,8-13K,3-5年,本科,中科曙光,/gongsi/4b2ee09cfe57cc5c3nZ_39-_FA~~.html,人力资源服务,未融资,20-99人,['需求分析评估'],员工旅游，节日福利，零食下午茶，定期体检，五险一金，带薪年假
147,跨境电商数据分析/产品开发,/job_detail/7c5b219cb34e62821XV739i5E1RX.html,武汉·江夏区·光谷,4-6K,经验不限,大专,武汉天霆,/gongsi/745b458d9b6097a53nF-2966GA~~.html,电子商务,未融资,20-99人,"['数据开发', '产品开发']",全勤奖，生日福利，节日福利
148,数据分析,/job_detail/fba6a4ed1888e8aa1XZ42N29GFpR.html,武汉,4-6K·13薪,经验不限,大专,京东物流-华中区域,/gongsi/231e24eb521feef21HR72964.html,物流/仓储,已上市,10000人以上,"['Python', 'SQL']",带薪年假，餐补，年终奖，节日福利，五险一金
149,AI数据分析工程师(J10443),/job_detail/42507852bc58718c1XVz3t-5ElBR.html,武汉·洪山区·光谷,18-20K·13薪,3-5年,硕士,华新技管,/gongsi/b92dc7db3c2dbd080nBz3Nu7FA~~.html,其他专业服务,已上市,1000-9999人,"['算法设计', '深度学习算法', '机器学习算法', '视觉图像算法', '推荐算法', '数据开发', '数据挖掘', '数据分析']",五险一金，带薪年假，补充医疗保险，员工旅游，年终奖，餐补，住房补贴，节日福利，通讯补贴，定期体检，零食下午茶
150,数据实习生（数据运维/实施/开发/分析岗）,/job_detail/5032db2b3279e0401XV-0t6_EVtT.html,武汉·江汉区·常青,150-300元/天,5天/周6个月,本科,卓信数据,/gongsi/e27392c23e7887d41Hd52Nm0EA~~.html,计算机软件,已上市,100-499人,"['SQL', 'Hadoop', 'Shell', 'HIVE', 'FineReport（帆软）', '数据']",加班补助，带薪年假，定期体检，节日福利，零食下午茶，年终奖，通讯补贴，团建，五险一金，交通补助
151,初级数据分析,/job_detail/fd49b0acf47cade61nR50tq_F1ZS.html,武汉·洪山区·光谷,10-15K·13薪,1年以内,本科,武汉贝贝游游戏,/gongsi/6bb4727ff3e02a951nZ43t-8ElM~.html,电子商务,,20-99人,"['数据分析', '商业分析']",
152,大数据分析专员,/job_detail/e6177421b62a4ab93n1y3N66FVM~.html,武汉·江夏区·光谷东,6-8K,3-5年,本科,华大基因,/gongsi/842382e02d9989b90nF83tS7FA~~.html,医疗设备/器械,,100-499人,"['数据分析', '数据挖掘', '数据仓库', 'SQL', '数据采集', '商业分析']",
153,城市经理（数据分析岗）,/job_detail/6586f21406e77db21nV83dm9FFVW.html,武汉·江夏区·金融港,4-6K,1-3年,大专,武汉黄绿蓝,/gongsi/a18532ad8fb0b1ff1nx82NW-EFI~.html,移动互联网,,20-99人,['数据分析'],
154,数据产品店铺运营分析师 理科生优先,/job_detail/5b8b76f635c570621H1709m_ElE~.html,武汉,5-10K,经验不限,大专,武汉微星电商,/gongsi/18baf90ef48ecf4903V539i0FA~~.html,电子商务,未融资,20-99人,"['数据分析', '英语四级', '店铺运营', '理工', '统计', '数据运营', '数据挖掘', '数据开发']",股票期权，员工旅游，加班补助，培训，年终奖，带薪年假，节日福利，补充医疗保险，通讯补贴，零食下午茶，五险一金
155,数据咨询师,/job_detail/e166d3a70d9a56900HJ92tq4FlQ~.html,武汉,8-13K·13薪,3-5年,本科,武汉慧辰,/gongsi/d9c50062c3820beb1XZz2Ny1FQ~~.html,数据服务,不需要融资,100-499人,"['数据分析', '数据挖掘', '商业分析', 'Python', 'SPSS', 'R', '网络爬虫技术', '咨询领域']",补充医疗保险，定期体检，五险一金，带薪年假，股票期权，节日福利，年终奖，员工旅游
156,数据统计员,/job_detail/7811c6180e62989d1nR80927F1FY.html,武汉·江岸区·建设大道,3-5K,1-3年学历,不限,新生医疗美容,/gongsi/baafd436a4545de71Hdy3Ni9.html,医疗健康,不需要融资,1000-9999人,"['数据分析', '统计学', 'Excel', '条件函数']",加班补助，工作手机，员工旅游，住房补贴，年终奖，零食下午茶，五险一金，生日会，全勤奖，包住，补充医疗保险，带薪年假，工作餐，餐补，节日福利，通讯补贴，包吃，定期体检
157,遥感数据处理工程师,/job_detail/480974b7cb6338c61Xx90ti-FlM~.html,武汉·武昌区·水果湖,5-9K,经验不限,本科,湖北彦一,/gongsi/f2204d1de9f653031nJ9092_EA~~.html,环保,未融资,20-99人,"['数据分析', '数据挖掘']",年终奖，补充医疗保险，交通补助，通讯补贴，加班补助，员工旅游，带薪年假，定期体检，五险一金，全勤奖，节日福利，餐补
158,高级数据分析师,/job_detail/2d436e3a4aa5faa91nJ_29m9EVVQ.html,武汉·洪山区·光谷,20-35K·15薪,3-5年,本科,斗鱼,/gongsi/9459ad5584af2d781Xd42Nq6.html,互联网,已上市,1000-9999人,"['Python', 'SQL', 'Hadoop', 'Spark', '描述统计', '方差分析']",餐补，股票期权，补充医疗保险，五险一金，年终奖，带薪年假，定期体检，节日福利，零食下午茶
159,高级数据分析,/job_detail/2b78af8abb43cfe21nN_09u6GFtT.html,武汉·洪山区·南湖,8-13K,1-3年,本科,易佰网络,/gongsi/16187be340a4bd9e1HF539y1.html,电子商务,已上市,1000-9999人,"['SQL', 'Python', 'R', 'Pandas', 'Excel', 'SPSS']",团建聚餐，专业培训，零食下午茶，全勤奖，员工旅游，股票期权，俱乐部，节日福利，生日福利，年终奖，带薪年假，交通补助
160,数据标注,/job_detail/177931132a66f6c71nJ_09i9FVtR.html,武汉·江夏区·光谷,3-5K,经验不限,大专,在图科技,/gongsi/8cca2a0b999cf9261nJ42di0E1I~.html,移动互联网,,20-99人,"['数据分析', '数据治理', 'gis', '地理信息', '测绘', 'Python', '数据挖掘']",
161,临床数据分析,/job_detail/629f497cefae01581nN509m8EVNW.html,武汉·江岸区·花桥,10-15K,1-3年,硕士,易侕科研,/gongsi/3be56fe7b0f23ff61XV-29u6EVU~.html,制药,,20-99人,"['临床研究', '临床监查员', '临床试验', 'CRC', '医学统计', '数据分析', 'DM', 'PM']",
162,数据专员,/job_detail/4f97c45de1a6f6d31nRz0tu4GVtS.html,武汉·江夏区·光谷,3-5K·13薪,1-3年,大专,武汉海云健康科技...,/gongsi/0bd21660933bdb471XB529i-Eg~~.html,医疗健康,A轮,100-499人,['数据分析'],零食下午茶，五险一金，带薪年假，股票期权，节日福利，年终奖，补充医疗保险，加班补助
163,数据统计专员,/job_detail/3740ec70632e97b11nN53Nm6F1RV.html,武汉·江岸区·建设大道,3-5K,1-3年,大专,新生医疗美容,/gongsi/baafd436a4545de71Hdy3Ni9.html,医疗健康,不需要融资,1000-9999人,"['Excel', '效度分析', '统计学', '数据分析', '数据统计']",住房补贴，工作手机，包住，餐补，五险一金，员工旅游，通讯补贴，工作餐，生日会，定期体检，加班补助，零食下午茶，包吃，带薪年假，全勤奖，年终奖，节日福利，补充医疗保险
164,营销中级顾问（大数据分析）-base佛山/武汉,/job_detail/d95e1cfd6e9122b51XV-29S6GVFR.html,武汉·洪山区·花山,10-15K·14薪,3-5年,本科,美云智数,/gongsi/4175315b8b28d0d00XB_39W8.html,互联网,不需要融资,1000-9999人,"['需求分析工程师', '实施工程师/顾问', 'bi', '营销', '业务咨询', '数据分析']",年终奖，五险一金，交通补助，餐补，带薪年假，节日福利，零食下午茶，员工旅游，定期体检，补充医疗保险，免费班车
165,数据分析岗,/job_detail/2b6d0b1f2ab0d0691XZ439-5EVdQ.html,武汉·洪山区·关山,3-5K,在校/应届,硕士,湖北三新,/gongsi/c6f87a0ab23eba1e0nV82dS9.html,企业服务,不需要融资,500-999人,"['多元统计分析', '应用数学，统计学']",五险一金，带薪年假，包吃，住房补贴，加班补助，节日福利，交通补助，年终奖，定期体检，员工旅游
166,商品数据分析,/job_detail/d12a2e87ee8dd5911nN73t24GVdV.html,武汉,5-8K,1-3年,大专,猫人,/gongsi/3b20c6748fea6fb20HBz3NS5Fw~~.html,服装/纺织/皮革,不需要融资,500-999人,"['服装销售数据分析', '服装供应链数据分析']",通勤车，交通补助，社保，包住，餐补，年终奖，带薪年假，免费班车，员工旅游，节日福利，通讯补贴
167,数据分析员,/job_detail/2416a8e475b1cebd1nJ62dm5F1RW.html,武汉,4-7K,1-3年,大专,湖北日晟行,/gongsi/1783c477fb0ffb421XZ83d29.html,工程施工,不需要融资,100-499人,"['数据分析员', '分析员']",五险，提供午餐，带薪年假，节日福利，年终奖
168,大数据分析讲师,/job_detail/1ff59af69ec7c9981nJ53tu6FFRX.html,武汉·洪山区·街道口,12-16K,3-5年,本科,英科数字创意产业中心,/gongsi/fd976d4ff36828f41nB93Nu-F1I~.html,培训机构,,20-99人,"['Python', 'Excel', 'SPSS', 'SAS', 'Tableau', 'Pandas', 'R']",
169,初级数据分析师,/job_detail/812a8d045b724f9f1XVy0t-1GVBR.html,武汉·洪山区·南湖,6-8K,1-3年,本科,易佰网络科技,/gongsi/ccefae1465c32a0a1nx43tS_Elc~.html,贸易/进出口,,1000-9999人,"['SQL', 'Python', '数学/统计相关专业', '计算机相关专业', '电商/零售行业数据相关经验', '销售助理', '数据处理']",
170,电商数据分析师,/job_detail/f5f015c1d0d7f3b31XZ80964GFZW.html,武汉·洪山区·光谷,5-8K,经验不限学历,不限,武汉鲸鱼传媒,/gongsi/dff9a4fd088e0dc31XV63tm5FVE~.html,文化/体育/娱乐,未融资,20-99人,['SQL'],年终奖，带薪年假，交通补助，全勤奖，五险一金，免费班车，零食下午茶，节日福利
171,大数据分析工程师,/job_detail/d85452eed3bcc0c11XV_3dS7EVdR.html,武汉·硚口区·古田,8-13K·13薪,1-3年,本科,盛聚祥物联科技有...,/gongsi/42bd6fe3ec7a113e1n173tu-Fls~.html,计算机服务,未融资,10000人以上,"['SQL', 'Hadoop', 'Hbase', 'Flink', 'Hive', 'Tableau']",带薪年假，五险一金，餐补，年终奖
172,大数据分析工程师,/job_detail/8729c3b842336cc91nx-2dq7GFdW.html,武汉·江夏区·光谷东,15-30K·14薪,经验不限,本科,深圳华为,/gongsi/f9853f80140028aa1ndy3d24.html,通信/网络设备,不需要融资,10000人以上,"['Python', 'SQL', 'Java']",通讯补贴，公司上下班车，带薪年假，全勤奖，节日福利，员工旅游，股票期权，年终奖，五险一金，加班补助，交通补助，免费班车，公司花园小区，定期体检，零食下午茶
173,高级商业数据分析师,/job_detail/133f3488113ce8061XZ62dS5FVZR.html,武汉·洪山区·南湖,12-20K,5-10年,本科,楚晋网络,/gongsi/578f7277982940fd1nZ-09i9FVU~.html,互联网,,100-499人,"['SQL', 'Python', 'Pandas']",企业年金，五险一金，员工旅游，带薪年假，零食下午茶，节日福利，住房补贴，餐补
174,大数据分析工程师,/job_detail/e175d28a977cde501XV_09-7EFRW.html,武汉·江汉区·后湖,5-7K·13薪,1-3年,本科,沃创科技,/gongsi/26c480cfcee3ac6a03J73N21Fw~~.html,计算机软件,未融资,20-99人,['SQL'],带薪年假，通讯补贴，五险一金，加班补助，全勤奖，节日福利，员工旅游，年终奖，定期体检
175,数据开发工程师,/job_detail/6a4c764a9f38bd363nF80t6-GFo~.html,武汉·洪山区·鲁巷,5-10K,经验不限学历,不限,数七云,/gongsi/2ea98f4172b2bb073ndz2di9Fw~~.html,计算机软件,未融资,20-99人,"['数据分析', '数据开发', 'ETL', '数据采集', 'SQL']",五险一金，加班补助，节日福利
176,英语数据分析,/job_detail/9d485d1fc979160e1n1-2ti_FFNW.html,武汉·洪山区·鲁巷,9-14K·14薪,经验不限,本科,人人公司,/gongsi/f34f966185d1132f1nR73Ny7.html,互联网,已上市,100-499人,"['大数据', 'SQL']",五险一金
177,工业大数据分析工程师,/job_detail/b490174f842d1d9e1nx-0tu5GFNS.html,武汉,12-24K·14薪,1-3年,硕士,TCL工业研究院,/gongsi/2645bd1b72bd90411XBy2di1FQ~~.html,学术/科研,未融资,100-499人,"['数据挖掘', '算法']",员工旅游，定期体检，年终奖，零食下午茶，股票期权，节日福利，带薪年假，补充医疗保险，五险一金
178,BI数据分析工程师,/job_detail/ae04138945775c351XVz29y1EldX.html,武汉·江夏区·光谷,10-15K·13薪,3-5年,大专,英志,/gongsi/1a7a3665cbad0fae0nZ63tu7Ew~~.html,移动互联网,不需要融资,20-99人,"['Power BI', 'Hadoop', '多元统计分析', 'SQL']",定期体检，五险一金
179,数据统计,/job_detail/0099b6c66d91c6b61XZ42NW_FFNW.html,武汉,4-6K,1-3年,大专,武汉璟博,/gongsi/7a6722da3b5793f833Z62N65Fw~~.html,工程施工,,20-99人,"['数据统计', '数据分析']",
180,房地产数据分析员,/job_detail/c8c9def394a44a0a1XZ40ty-FVRS.html,武汉·武昌区·徐东大街,4-6K,1年以内,本科,洪房评估,/gongsi/ac66b61246b1240f1n1-2tu4EVA~.html,房地产开发,未融资,100-499人,['Excel'],交通补助，住房补贴，员工旅游，带薪年假，五险一金，餐补，零食下午茶，加班补助，年终奖，节日福利
